"date","ticker","shares","closing_price","portfolio_value","received_dividends","name","portfolio"
"2020-10-10","PFLT",1400,"8.70","12180.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-11","PFLT",1400,"8.70","12180.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-12","PFLT",1400,"8.70","12180.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-13","PFLT",1400,"8.65","12110.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-14","PFLT",1400,"8.66","12124.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-15","PFLT",1400,"8.65","12110.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-16","PFLT",1400,"8.69","12166.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-17","PFLT",1400,"8.69","12166.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-18","PFLT",1400,"8.69","12166.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-19","PFLT",1400,"8.63","12082.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-20","PFLT",1400,"8.33","11662.00","140.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-21","PFLT",1400,"8.17","11438.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-22","PFLT",1400,"8.32","11648.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-23","PFLT",1400,"8.42","11788.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-24","PFLT",1400,"8.42","11788.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-25","PFLT",1400,"8.42","11788.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-26","PFLT",1400,"8.16","11424.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-27","PFLT",1400,"8.21","11494.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-28","PFLT",1400,"7.84","10976.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-29","PFLT",1400,"7.90","11060.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-30","PFLT",1400,"7.80","10920.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-10-31","PFLT",1400,"7.80","10920.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-01","PFLT",1400,"7.80","10920.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-02","PFLT",1400,"8.06","11284.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-03","PFLT",1400,"8.10","11340.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-04","PFLT",1400,"8.19","11466.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-05","PFLT",1400,"8.51","11914.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-06","PFLT",1400,"8.39","11746.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-07","PFLT",1400,"8.39","11746.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-08","PFLT",1400,"8.39","11746.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-09","PFLT",1400,"8.68","12152.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-10","PFLT",1400,"8.97","12558.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-11","PFLT",1400,"9.12","12768.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-12","PFLT",1400,"9.10","12740.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-13","PFLT",1400,"9.34","13076.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-14","PFLT",1400,"9.34","13076.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-15","PFLT",1400,"9.34","13076.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-16","PFLT",1400,"9.27","12978.00","140.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-17","PFLT",1400,"9.27","12978.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-18","PFLT",1400,"9.31","13034.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-19","PFLT",1400,"10.09","14126.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-20","PFLT",1400,"10.32","14448.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-21","PFLT",1400,"10.32","14448.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-22","PFLT",1400,"10.32","14448.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-23","PFLT",1400,"10.35","14490.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-24","PFLT",1400,"10.53","14742.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-25","PFLT",1400,"10.54","14756.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-26","PFLT",1400,"10.54","14756.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-27","PFLT",1400,"10.60","14840.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-28","PFLT",1400,"10.60","14840.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-29","PFLT",1400,"10.60","14840.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-11-30","PFLT",1400,"10.43","14602.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-01","PFLT",1400,"10.69","14966.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-02","PFLT",1400,"10.82","15148.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-03","PFLT",1400,"10.91","15274.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-04","PFLT",1400,"10.96","15344.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-05","PFLT",1400,"10.96","15344.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-06","PFLT",1400,"10.96","15344.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-07","PFLT",1400,"10.89","15246.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-08","PFLT",1400,"10.79","15106.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-09","PFLT",1400,"10.77","15078.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-10","PFLT",1400,"10.58","14812.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-11","PFLT",1400,"10.83","15162.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-12","PFLT",1400,"10.83","15162.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-13","PFLT",1400,"10.83","15162.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-14","PFLT",1400,"10.79","15106.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-15","PFLT",1400,"10.84","15176.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-16","PFLT",1400,"10.63","14882.00","140.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-17","PFLT",1400,"10.48","14672.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-18","PFLT",1400,"10.32","14448.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-19","PFLT",1400,"10.32","14448.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-20","PFLT",1400,"10.32","14448.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-21","PFLT",1400,"10.32","14448.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-22","PFLT",1400,"10.14","14196.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-23","PFLT",1400,"10.28","14392.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-24","PFLT",1400,"10.25","14350.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-25","PFLT",1400,"10.25","14350.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-26","PFLT",1400,"10.25","14350.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-27","PFLT",1400,"10.25","14350.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-28","PFLT",1400,"10.21","14294.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-29","PFLT",1400,"10.39","14546.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-30","PFLT",1400,"10.42","14588.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2020-12-31","PFLT",1400,"10.53","14742.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-01","PFLT",1400,"10.53","14742.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-02","PFLT",1400,"10.53","14742.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-03","PFLT",1400,"10.53","14742.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-04","PFLT",1400,"10.46","14644.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-05","PFLT",1400,"10.68","14952.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-06","PFLT",1400,"10.93","15302.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-07","PFLT",1400,"11.13","15582.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-08","PFLT",1400,"11.20","15680.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-09","PFLT",1400,"11.20","15680.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-10","PFLT",1400,"11.20","15680.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-11","PFLT",1400,"11.17","15638.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-12","PFLT",1400,"11.25","15750.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-13","PFLT",1400,"11.38","15932.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-14","PFLT",1400,"11.56","16184.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-15","PFLT",1400,"11.34","15876.00","140.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-16","PFLT",1400,"11.34","15876.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-17","PFLT",1400,"11.34","15876.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-18","PFLT",1400,"11.34","15876.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-19","PFLT",1400,"11.09","15526.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-20","PFLT",1400,"11.10","15540.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-21","PFLT",1400,"11.14","15596.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-22","PFLT",1400,"11.16","15624.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-23","PFLT",1400,"11.16","15624.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-24","PFLT",1400,"11.16","15624.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-25","PFLT",1400,"11.04","15456.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-26","PFLT",1400,"11.20","15680.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-27","PFLT",1400,"11.02","15428.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-28","PFLT",1400,"11.07","15498.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-29","PFLT",1400,"10.88","15232.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-30","PFLT",1400,"10.88","15232.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-01-31","PFLT",1400,"10.88","15232.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-01","PFLT",1400,"11.08","15512.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-02","PFLT",1400,"11.30","15820.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-03","PFLT",1400,"11.42","15988.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-04","PFLT",1400,"11.52","16128.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-05","PFLT",1400,"11.70","16380.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-06","PFLT",1400,"11.70","16380.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-07","PFLT",1400,"11.70","16380.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-08","PFLT",1400,"11.79","16506.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-09","PFLT",1400,"11.79","16506.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-10","PFLT",1400,"11.95","16730.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-11","PFLT",1400,"11.87","16618.00","140.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-12","PFLT",1400,"11.73","16422.00","0.00","PennantPark Floating Rate Capital","Portfolio High Bill"
"2021-02-13","PFLT",1400,"11.73","16422.00","0","PennantPark Floating Rate Capital","Portfolio High Bill"
