Date,Ticker,Closing Price,Dividend Amount
2025-01-03,PM,122.0199966430664,0.0
2025-01-06,PM,121.0,0.0
2025-01-07,PM,121.4000015258789,0.0
2025-01-08,PM,121.86000061035156,0.0
2025-01-10,PM,117.1500015258789,0.0
2025-01-13,PM,117.55000305175781,0.0
2025-01-14,PM,118.47000122070312,0.0
2025-01-15,PM,118.51000213623047,0.0
2025-01-16,PM,119.80000305175781,0.0
2025-01-17,PM,121.58999633789062,0.0
2025-01-21,PM,123.80999755859375,0.0
2025-01-22,PM,122.88999938964844,0.0
2025-01-23,PM,125.43000030517578,0.0
2020-01-02,AGNC,17.780000686645508,0.0
2020-01-03,AGNC,17.729999542236328,0.0
2020-01-06,AGNC,17.729999542236328,0.0
2020-01-07,AGNC,17.93000030517578,0.0
2020-01-08,AGNC,17.8799991607666,0.0
2020-01-09,AGNC,17.940000534057617,0.0
2020-01-10,AGNC,17.959999084472656,0.0
2020-01-13,AGNC,18.030000686645508,0.0
2020-01-14,AGNC,18.100000381469727,0.0
2020-01-15,AGNC,18.15999984741211,0.0
2020-01-16,AGNC,18.209999084472656,0.0
2020-01-17,AGNC,18.25,0.0
2020-01-21,AGNC,18.469999313354492,0.0
2020-01-22,AGNC,18.360000610351562,0.0
2020-01-23,AGNC,18.43000030517578,0.0
2020-01-24,AGNC,18.350000381469727,0.0
2020-01-27,AGNC,18.270000457763672,0.0
2020-01-28,AGNC,18.40999984741211,0.0
2020-01-29,AGNC,18.739999771118164,0.0
2020-01-30,AGNC,18.479999542236328,0.16
2020-01-31,AGNC,18.59000015258789,0.0
2020-02-03,AGNC,18.6299991607666,0.0
2020-02-04,AGNC,18.790000915527344,0.0
2020-02-05,AGNC,19.200000762939453,0.0
2020-02-06,AGNC,19.219999313354492,0.0
2020-02-07,AGNC,19.190000534057617,0.0
2020-02-10,AGNC,19.030000686645508,0.0
2020-02-11,AGNC,18.979999542236328,0.0
2020-02-12,AGNC,18.989999771118164,0.0
2020-02-13,AGNC,19.1200008392334,0.0
2020-02-14,AGNC,19.34000015258789,0.0
2020-02-18,AGNC,19.540000915527344,0.0
2020-02-19,AGNC,19.440000534057617,0.0
2020-02-20,AGNC,19.6200008392334,0.0
2020-02-21,AGNC,19.260000228881836,0.0
2020-02-24,AGNC,19.09000015258789,0.0
2020-02-25,AGNC,18.510000228881836,0.0
2020-02-26,AGNC,18.440000534057617,0.0
2020-02-27,AGNC,17.56999969482422,0.16
2020-02-28,AGNC,17.040000915527344,0.0
2020-03-02,AGNC,18.149999618530273,0.0
2020-03-03,AGNC,17.8799991607666,0.0
2020-03-04,AGNC,18.239999771118164,0.0
2020-03-05,AGNC,17.700000762939453,0.0
2020-03-06,AGNC,17.100000381469727,0.0
2020-03-09,AGNC,15.59000015258789,0.0
2020-03-10,AGNC,15.40999984741211,0.0
2020-03-11,AGNC,14.390000343322754,0.0
2020-03-12,AGNC,11.5600004196167,0.0
2020-03-13,AGNC,12.010000228881836,0.0
2020-03-16,AGNC,11.8100004196167,0.0
2020-03-17,AGNC,11.8100004196167,0.0
2020-03-18,AGNC,9.729999542236328,0.0
2020-03-19,AGNC,9.380000114440918,0.0
2020-03-20,AGNC,9.829999923706055,0.0
2020-03-23,AGNC,10.4399995803833,0.0
2020-03-24,AGNC,11.109999656677246,0.0
2020-03-25,AGNC,12.5,0.0
2020-03-26,AGNC,13.449999809265137,0.0
2020-03-27,AGNC,13.149999618530273,0.0
2020-03-30,AGNC,11.680000305175781,0.16
2020-03-31,AGNC,10.579999923706055,0.0
2020-04-01,AGNC,9.489999771118164,0.0
2020-04-02,AGNC,9.800000190734863,0.0
2020-04-03,AGNC,9.510000228881836,0.0
2020-04-06,AGNC,10.380000114440918,0.0
2020-04-07,AGNC,10.510000228881836,0.0
2020-04-08,AGNC,11.270000457763672,0.0
2020-04-09,AGNC,12.210000038146973,0.0
2020-04-13,AGNC,12.180000305175781,0.0
2020-04-14,AGNC,11.819999694824219,0.0
2020-04-15,AGNC,11.479999542236328,0.0
2020-04-16,AGNC,11.649999618530273,0.0
2020-04-17,AGNC,12.270000457763672,0.0
2020-04-20,AGNC,11.979999542236328,0.0
2020-04-21,AGNC,12.359999656677246,0.0
2020-04-22,AGNC,12.199999809265137,0.0
2020-04-23,AGNC,12.359999656677246,0.0
2020-04-24,AGNC,12.130000114440918,0.0
2020-04-27,AGNC,12.3100004196167,0.0
2020-04-28,AGNC,12.6899995803833,0.0
2020-04-29,AGNC,12.739999771118164,0.12
2020-04-30,AGNC,12.420000076293945,0.0
2020-05-01,AGNC,12.270000457763672,0.0
2020-05-04,AGNC,12.40999984741211,0.0
2020-05-05,AGNC,12.779999732971191,0.0
2020-05-06,AGNC,12.489999771118164,0.0
2020-05-07,AGNC,12.569999694824219,0.0
2020-05-08,AGNC,12.710000038146973,0.0
2020-05-11,AGNC,12.3100004196167,0.0
2020-05-12,AGNC,12.039999961853027,0.0
2020-05-13,AGNC,11.729999542236328,0.0
2020-05-14,AGNC,12.40999984741211,0.0
2020-05-15,AGNC,12.4399995803833,0.0
2020-05-18,AGNC,12.899999618530273,0.0
2020-05-19,AGNC,12.989999771118164,0.0
2020-05-20,AGNC,13.25,0.0
2020-05-21,AGNC,13.050000190734863,0.0
2020-05-22,AGNC,13.170000076293945,0.0
2020-05-26,AGNC,13.420000076293945,0.0
2020-05-27,AGNC,13.489999771118164,0.0
2020-05-28,AGNC,13.09000015258789,0.12
2020-05-29,AGNC,12.9399995803833,0.0
2020-06-01,AGNC,13.15999984741211,0.0
2020-06-02,AGNC,13.0,0.0
2020-06-03,AGNC,13.319999694824219,0.0
2020-06-04,AGNC,13.890000343322754,0.0
2020-06-05,AGNC,13.489999771118164,0.0
2020-06-08,AGNC,14.25,0.0
2020-06-09,AGNC,13.90999984741211,0.0
2020-06-10,AGNC,13.420000076293945,0.0
2020-06-11,AGNC,12.960000038146973,0.0
2020-06-12,AGNC,13.609999656677246,0.0
2020-06-15,AGNC,13.489999771118164,0.0
2020-06-16,AGNC,13.470000267028809,0.0
2020-06-17,AGNC,13.350000381469727,0.0
2020-06-18,AGNC,13.1899995803833,0.0
2020-06-19,AGNC,12.890000343322754,0.0
2020-06-22,AGNC,12.989999771118164,0.0
